country,population
Burundi,2309
Comoros,159
Djibouti,62
Eritrea,1142
Ethiopia,18128
Kenya,6077
Madagascar,4084
Malawi,2954
Mauritius,493
Mayotte,15
Mozambique,6152
Réunion,248
Rwanda,2186
Seychelles,36
Somalia,2264
South Sudan,2583
Uganda,5158
United Republic of Tanzania,7650
Zambia,2310
Zimbabwe,2747
